;1;1.5;2;2.5;3;3.5;4;4.5;5;
0;0€|38.2787%|17%|44.7213%;0€|5.00723%|81.9928%|13%;0€|22.5018%|53.4982%|24%;0€|14%|50.3373%|35.6627%;0€|89%|0%|11%;0€|18%|68.5568%|13.4432%;0€|14.3737%|69.6263%|16%;0€|3%|1%|96%;0€|0%|45.7472%|54.2528%;
0.1;12€|3%|0%|97%;9.33333€|0%|0%|100%;7€|5%|14%|81%;5.2€|0%|7%|93%;3.66667€|2%|11%|87%;3.14286€|1%|1%|98%;10.25€|11%|20%|69%;2.44444€|1%|0%|99%;3€|5%|0%|95%;
0.2;126€|0%|0%|100%;84€|0%|0%|100%;61.5€|1%|5%|94%;56.8€|0%|0%|100%;44€|1%|0%|99%;32.8571€|3%|17%|80%;49.5€|7%|9%|84%;46.2222€|9%|87.3418%|3.65816%;43.6€|11%|71.2308%|17.7692%;
0.3;466€|0%|1%|99%;326€|1.38778e-15%|0%|100%;238.5€|0%|6.93889e-16%|100%;196.9€|0%|2%|98%;164.333€|0%|99.3318%|0.668205%;184.786€|25.323%|58.677%|16%;226.5€|58.7286%|34.2714%|7%;280.889€|59.6917%|39.3083%|1%;274.2€|64.988%|31.012%|4%;
0.4;1075€|0%|0%|100%;701.333€|0%|0%|100%;593€|0%|64%|36%;568.8€|7%|86.824%|6.17602%;631€|49.0726%|50.9274%|1.11022e-14%;728.286€|66.2932%|19.7068%|14%;1009.75€|81.9865%|14.0135%|4%;903.444€|63.5911%|36.4089%|1.66533e-14%;1230€|100%|0%|0%;
0.5;1926€|0%|0%|100%;1288.5€|0%|6.93889e-16%|100%;1320€|4.81314%|94.1869%|1%;1394.5€|67.0442%|32.9558%|-5.55112e-15%;1626€|76.9152%|23.0848%|0%;1958.21€|86.114%|13.886%|8.32667e-15%;2309.75€|94.0123%|0%|5.98773%;2764€|94.1486%|5.85141%|9.02056e-15%;3328€|98.1675%|1.83251%|6.93889e-16%;
0.6;2780€|0%|0%|100%;2161.67€|3%|88.1992%|8.80085%;2334.5€|68.2243%|24.7757%|7%;3061.1€|85.1004%|11.8996%|3%;3804€|100%|0%|0%;4564€|100%|0%|0%;5031€|97.0874%|2.91262%|-1.38778e-15%;5845.5€|100%|0%|0%;6225€|100%|0%|0%;
0.7;3588€|0%|4%|96%;3381.5€|73.724%|26.276%|-1.66533e-14%;4602€|98.0392%|1.96078%|4.16334e-15%;5505€|100%|0%|0%;6967.33€|96.1538%|3.84615%|9.02056e-15%;8074.5€|100%|0%|0%;9020€|100%|0%|0%;10291.5€|100%|0%|0%;11500€|100%|0%|0%;
0.8;4200€|0%|0%|100%;5181.5€|97.6441%|0.355892%|2%;6820€|100%|0%|0%;8645€|100%|0%|0%;10287€|100%|0%|0%;12299€|100%|0%|0%;13612€|100%|0%|0%;15268€|99%|0%|1%;17310€|100%|0%|0%;
0.9;4724€|0%|3%|97%;6634.5€|100%|0%|0%;8796€|100%|0%|0%;11030€|100%|0%|0%;13332€|100%|0%|0%;15617€|100%|0%|0%;17644€|100%|0%|0%;20061€|100%|0%|0%;22250€|100%|0%|0%;
1;5232€|21.69%|68.31%|10%;7842€|100%|0%|0%;10460€|100%|0%|0%;13067.5€|100%|0%|0%;15657€|100%|0%|0%;18308.5€|100%|0%|0%;20876€|100%|0%|0%;23472€|100%|0%|0%;26165€|100%|0%|0%;
