;1;2;3;4;5;
[0(70.000000%)|0(40.000000%)|0(40.000000%)];35€|20%|4%|76%;47€|39.4965%|31.5035%|29%;46€|3%|51.3048%|45.6952%;40€|11%|66.8115%|22.1885%;40€|8.80288%|29.1971%|62%;
[0(70.000000%)|0(40.000000%)|4(40.000000%)];610€|21.9839%|74.0161%|4%;357€|0%|47.3853%|52.6147%;310€|15%|75%|10%;417€|31.0836%|55.9164%|13%;359€|9.99103%|19.009%|71%;
[0(70.000000%)|0(40.000000%)|5(40.000000%)];784€|54%|15%|31%;305.5€|27.1335%|42.8665%|30%;501€|51.0421%|46.9579%|2%;364€|4.14578%|95.8542%|0%;395.2€|33%|48%|19%;
[0(70.000000%)|0(40.000000%)|6(40.000000%)];668€|48.2549%|33.7451%|18%;540€|0%|42%|58%;427€|15%|49%|36%;355€|29.2936%|14.7064%|56%;415€|6.80796%|64.192%|29%;
[0(70.000000%)|4(40.000000%)|0(40.000000%)];638€|7%|17%|76%;309€|59.0099%|20.9901%|20%;325.667€|10.4142%|64.5858%|25%;410€|0%|74.9444%|25.0556%;340.2€|19%|38%|43%;
[0(70.000000%)|4(40.000000%)|4(40.000000%)];2984€|3%|48.2489%|48.7511%;1548.5€|29%|41%|30%;1157€|58%|24%|18%;1129.5€|22%|46.6766%|31.3234%;918.4€|3%|65.5238%|31.4762%;
[0(70.000000%)|4(40.000000%)|5(40.000000%)];2305€|30.9455%|69.0545%|1.11022e-14%;1767.5€|7%|84.0635%|8.93648%;1137€|24%|38%|38%;932.5€|13.6292%|64.3708%|22%;1052€|12%|45%|43%;
[0(70.000000%)|4(40.000000%)|6(40.000000%)];3348€|36.298%|38.702%|25%;1630€|1%|53%|46%;976.667€|29.7096%|65.2904%|5%;1126.25€|26.1456%|64.8544%|9%;1285.4€|35%|15%|50%;
[0(70.000000%)|5(40.000000%)|0(40.000000%)];431€|16.143%|34.857%|49%;444€|31.8475%|56.1525%|12%;414€|13%|58%|29%;398.5€|0%|25%|75%;347€|52.1325%|37.8675%|10%;
[0(70.000000%)|5(40.000000%)|4(40.000000%)];2494€|35.8946%|60.1054%|4%;1051€|38.4681%|54.5319%|7%;1357€|37.6622%|62.3378%|-2.22045e-14%;1151.25€|61.784%|21.216%|17%;984€|8%|45%|47%;
[0(70.000000%)|5(40.000000%)|5(40.000000%)];2825€|10%|71.4377%|18.5623%;1884€|51.9416%|45.0584%|3%;1387€|48.1957%|27.8043%|24%;1100.5€|11%|24%|65%;931€|11%|62%|27%;
[0(70.000000%)|5(40.000000%)|6(40.000000%)];2870€|16.0009%|15.9991%|68%;1940€|51.7382%|46.2618%|2%;1114.33€|13%|61%|26%;1197.5€|27.58%|72.42%|0%;841.6€|0%|59.0802%|40.9198%;
[0(70.000000%)|6(40.000000%)|0(40.000000%)];799€|8%|59%|33%;365€|33.5468%|58.4532%|8%;442.667€|1%|23%|76%;431.75€|6%|76.4758%|17.5242%;391€|23.0168%|66.9832%|10%;
[0(70.000000%)|6(40.000000%)|4(40.000000%)];3692€|50%|47%|3%;1197€|18.509%|81.491%|0%;1034€|41.0216%|52.9784%|6%;1215.75€|41.0023%|44.9977%|14%;1126.8€|49%|29%|22%;
[0(70.000000%)|6(40.000000%)|5(40.000000%)];2797€|62%|34%|4%;1721.5€|26.0434%|69.9566%|4%;1392€|0%|75%|25%;1285.75€|30%|59%|11%;740€|55%|40%|5%;
[0(70.000000%)|6(40.000000%)|6(40.000000%)];3045€|27.599%|25.401%|47%;1764€|50%|0%|50%;1130.33€|74.6447%|15.3553%|10%;1145€|38.8357%|61.1643%|1.11022e-14%;796€|38.9579%|61.0421%|0%;
[4(70.000000%)|0(40.000000%)|0(40.000000%)];2897€|37.5357%|52.4643%|10%;1655€|7%|31%|62%;1137€|18%|30%|52%;991€|12%|33.1797%|54.8203%;801€|14.8169%|85.1831%|1.11022e-14%;
[4(70.000000%)|0(40.000000%)|4(40.000000%)];6455€|0%|66.7642%|33.2358%;2894€|0%|26%|74%;2061.67€|0%|36%|64%;1923.5€|8.96154%|48.0385%|43%;1578.8€|10.5626%|75.4374%|14%;
[4(70.000000%)|0(40.000000%)|5(40.000000%)];4907€|3.3592%|42.6408%|54%;3112€|22.5513%|63.4487%|14%;2306€|24.3827%|75.6173%|2.22045e-14%;1908.75€|34.5%|55.5%|10%;1479.6€|46%|28%|26%;
[4(70.000000%)|0(40.000000%)|6(40.000000%)];6187€|34.4118%|63.5882%|2%;4490€|9%|60%|31%;2881.33€|7%|39.4653%|53.5347%;1833€|36.6757%|33.3243%|30%;1621.8€|40%|13%|47%;
[4(70.000000%)|4(40.000000%)|0(40.000000%)];6273€|0%|67%|33%;3325€|51.4681%|48.5319%|-1.11022e-14%;1727.33€|0%|59.9075%|40.0925%;1762.75€|44.835%|12%|43.165%;1828€|31.1058%|43.8942%|25%;
[4(70.000000%)|4(40.000000%)|4(40.000000%)];10110€|6.00419%|47.9958%|46%;4347€|29.6436%|53.3564%|17%;3548.33€|36.9843%|60.0157%|3%;2118.5€|7.14556%|3.85444%|89%;1448.8€|0%|19%|81%;
[4(70.000000%)|4(40.000000%)|5(40.000000%)];8190€|1.38778e-15%|67%|33%;4896€|34.117%|65.883%|1.11022e-14%;2749.33€|17.8087%|82.1913%|-1.11022e-14%;2694€|6%|68%|26%;1927.4€|5%|65%|30%;
[4(70.000000%)|4(40.000000%)|6(40.000000%)];8306€|15%|51%|34%;5148€|23.9892%|60.0108%|16%;2524€|8%|83.1144%|8.88558%;2679.5€|12%|51%|37%;2462€|14.2823%|39.7177%|46%;
[4(70.000000%)|5(40.000000%)|0(40.000000%)];4427€|0%|48%|52%;2664€|9.62233%|73.3777%|17%;1866€|38.5743%|37.4257%|24%;1795€|5%|62%|33%;1381€|16%|27%|57%;
[4(70.000000%)|5(40.000000%)|4(40.000000%)];7684€|28%|46%|26%;3727€|33%|31%|36%;2969€|30.5252%|69.4748%|0%;2451€|5.49825%|70.5018%|24%;2056.6€|40.1627%|43.8373%|16%;
[4(70.000000%)|5(40.000000%)|5(40.000000%)];7752€|25%|39%|36%;4335€|0%|29.2361%|70.7639%;3265€|44.1553%|54.8447%|1%;2855.75€|23.1785%|38.8215%|38%;1527€|59.6454%|4.35462%|36%;
[4(70.000000%)|5(40.000000%)|6(40.000000%)];7226€|28.8889%|65.1111%|6%;3917€|35.9957%|59.0043%|5%;3551€|19.3187%|51.6813%|29%;2846.25€|25.3672%|40.6328%|34%;2200.6€|22%|43.4935%|34.5065%;
[4(70.000000%)|6(40.000000%)|0(40.000000%)];4841€|2%|31%|67%;3740.5€|6%|32%|62%;2427€|35.0931%|45.9069%|19%;2219.5€|27%|60%|13%;1717.2€|13.157%|58.843%|28%;
