;2;3;4;5;
[0(70.000000%)|0(40.000000%)|0(40.000000%)];8363€|87.6382%|9.3618%|3%;11202€|91.7504%|8.24962%|8.32667e-15%;15003.8€|92.4547%|7.54526%|0%;19019.4€|87.5719%|11.4281%|1%;
[0(70.000000%)|0(40.000000%)|4(40.000000%)];8363€|90.6327%|9.36729%|-4.16334e-15%;11202€|90.0205%|6.9795%|3%;15003.8€|93.589%|6.41095%|9.71445e-15%;19019.4€|92.4356%|7.56437%|-4.16334e-15%;
[0(70.000000%)|0(40.000000%)|5(40.000000%)];8363€|84.7047%|15.2953%|5.55112e-15%;11202€|92.5628%|7.4372%|9.71445e-15%;15003.8€|89.0839%|10.9161%|-2.77556e-15%;19019.4€|93.1838%|6.81616%|-6.93889e-15%;
[0(70.000000%)|0(40.000000%)|6(40.000000%)];8363€|77.9396%|22.0604%|-8.32667e-15%;11202€|88.2822%|10.7178%|1%;15003.8€|87.2852%|12.7148%|-8.32667e-15%;19019.4€|87.2755%|12.7245%|-8.32667e-15%;
[0(70.000000%)|4(40.000000%)|0(40.000000%)];8363€|86.4846%|13.5154%|2.77556e-15%;11202€|90.8284%|9.17161%|1.38778e-15%;15003.8€|91.7568%|8.24324%|-1.11022e-14%;19019.4€|91.5331%|8.4669%|1.11022e-14%;
[0(70.000000%)|4(40.000000%)|4(40.000000%)];8363€|87.4486%|12.5514%|-1.38778e-14%;11202€|91.2443%|8.75573%|4.16334e-15%;15003.8€|93.0687%|6.93133%|-2.77556e-15%;19019.4€|93.7108%|6.28922%|-2.77556e-15%;
[0(70.000000%)|4(40.000000%)|5(40.000000%)];8363€|88.2879%|10.7121%|1%;11202€|92.1589%|7.84108%|1.11022e-14%;15003.8€|92.4354%|7.56456%|-1.38778e-14%;19019.4€|91.6922%|8.30782%|1.38778e-15%;
[0(70.000000%)|4(40.000000%)|6(40.000000%)];8363€|79.8663%|14.1337%|6%;11202€|92.4479%|7.55211%|6.93889e-15%;15003.8€|90.4657%|9.53434%|8.32667e-15%;19019.4€|91.369%|8.63098%|1.80411e-14%;
[0(70.000000%)|5(40.000000%)|0(40.000000%)];8363€|82.1712%|14.8288%|3%;11202€|88.8817%|7.11826%|4%;15003.8€|93.596%|6.40401%|-1.249e-14%;19019.4€|94.8732%|5.12678%|-5.55112e-15%;
[0(70.000000%)|5(40.000000%)|4(40.000000%)];8363€|88.1156%|11.8844%|-1.11022e-14%;11202€|90.2669%|8.73314%|1%;15003.8€|93.6532%|6.34684%|1.38778e-14%;19019.4€|94.1451%|5.85489%|-1.45717e-14%;
